t	V	DV/V0 in %
4.13	32.9217	-8.55089
4.14	32.9319	-8.5226
4.15	32.9425	-8.49311
4.16	32.9535	-8.46251
4.17	32.9649	-8.43091
4.18	32.9766	-8.39842
4.19	32.9885	-8.36516
4.2	33.0008	-8.33124
4.21	33.0132	-8.29677
4.22	33.0257	-8.26186
4.23	33.0384	-8.22663
4.24	33.0512	-8.19118
4.25	33.064	-8.15565
4.26	33.0768	-8.12012
4.27	33.0895	-8.08472
4.28	33.1022	-8.04956
4.29	33.1147	-8.01474
4.3	33.1271	-7.98036
4.31	33.1392	-7.94653
4.32	33.1512	-7.91335
4.33	33.1629	-7.88091
4.34	33.1743	-7.8493
4.35	33.1853	-7.81862
4.36	33.196	-7.78895
4.37	33.2063	-7.76036
4.38	33.2161	-7.73294
4.39	33.2256	-7.70675
4.4	33.2345	-7.68187
4.41	33.243	-7.65835
4.42	33.251	-7.63625
4.43	33.2584	-7.61563
4.44	33.2653	-7.59652
4.45	33.2716	-7.57898
4.46	33.2773	-7.56303
4.47	33.2825	-7.54871
4.48	33.287	-7.53605
4.49	33.291	-7.52505
4.5	33.2943	-7.51574
4.51	33.2971	-7.50813
4.52	33.2992	-7.50221
4.53	33.3007	-7.49799
4.54	33.3016	-7.49546
4.55	33.3019	-7.49461
4.56	33.3017	-7.49542
4.57	33.3008	-7.49786
4.58	33.2993	-7.50192
4.59	33.2973	-7.50755
4.6	33.2947	-7.51472
4.61	33.2916	-7.5234
4.62	33.2879	-7.53353
4.63	33.2838	-7.54508
4.64	33.2791	-7.55798
4.65	33.274	-7.57218
4.66	33.2685	-7.58762
4.67	33.2625	-7.60424
4.68	33.2561	-7.62198
4.69	33.2493	-7.64076
4.7	33.2422	-7.66052
4.71	33.2348	-7.68118
4.72	33.227	-7.70268
4.73	33.219	-7.72493
4.74	33.2108	-7.74785
4.75	33.2023	-7.77138
4.76	33.1936	-7.79542
4.77	33.1848	-7.81991
4.78	33.1759	-7.84476
4.79	33.1668	-7.86989
4.8	33.1577	-7.89521
4.81	33.1486	-7.92066
4.82	33.1394	-7.94615
4.83	33.1302	-7.9716
4.84	33.1211	-7.99694
4.85	33.1121	-8.02208
4.86	33.1031	-8.04696
4.87	33.0943	-8.07151
4.88	33.0856	-8.09564
4.89	33.0771	-8.11929
4.9	33.0687	-8.1424
4.91	33.0606	-8.1649
4.92	33.0528	-8.18673
4.93	33.0452	-8.20783
4.94	33.0379	-8.22814
4.95	33.0309	-8.24762
4.96	33.0242	-8.2662
4.97	33.0178	-8.28386
4.98	33.0118	-8.30053
4.99	33.0062	-8.31618
5	33.0009	-8.33079
5.01	32.9961	-8.3443
5.02	32.9916	-8.3567
5.03	32.9875	-8.36796
5.04	32.9839	-8.37806
5.05	32.9807	-8.38698
5.06	32.9779	-8.3947
5.07	32.9756	-8.40123
5.08	32.9736	-8.40654
5.09	32.9722	-8.41064
5.1	32.9711	-8.41354
5.11	32.9705	-8.41522
5.12	32.9703	-8.41571
5.13	32.9706	-8.41502
5.14	32.9713	-8.41316
5.15	32.9723	-8.41014
5.16	32.9738	-8.406
5.17	32.9757	-8.40075
5.18	32.978	-8.39444
5.19	32.9807	-8.38708
5.2	32.9837	-8.37871
5.21	32.987	-8.36937
5.22	32.9907	-8.3591
5.23	32.9947	-8.34793
5.24	32.9991	-8.33593
5.25	33.0037	-8.32312
5.26	33.0086	-8.30956
5.27	33.0137	-8.29531
5.28	33.0191	-8.2804
5.29	33.0246	-8.26489
5.3	33.0304	-8.24885
5.31	33.0364	-8.23231
5.32	33.0425	-8.21534
5.33	33.0487	-8.198
5.34	33.0551	-8.18034
5.35	33.0615	-8.16243
5.36	33.0681	-8.1443
5.37	33.0746	-8.12604
5.38	33.0812	-8.10768
5.39	33.0879	-8.0893
5.4	33.0945	-8.07094
5.41	33.101	-8.05266
5.42	33.1076	-8.03451
5.43	33.114	-8.01656
5.44	33.1204	-7.99884
5.45	33.1267	-7.98142
5.46	33.1328	-7.96434
5.47	33.1388	-7.94766
5.48	33.1447	-7.9314
5.49	33.1504	-7.91563
5.5	33.1559	-7.90038
5.51	33.1612	-7.8857
5.52	33.1662	-7.87161
5.53	33.1711	-7.85816
5.54	33.1757	-7.84538
5.55	33.18	-7.8333
5.56	33.1841	-7.82195
5.57	33.1879	-7.81135
5.58	33.1914	-7.80154
5.59	33.1947	-7.79252
5.6	33.1976	-7.78431
5.61	33.2003	-7.77694
5.62	33.2027	-7.77041
5.63	33.2047	-7.76473
5.64	33.2064	-7.75992
5.65	33.2079	-7.75597
5.66	33.209	-7.75288
5.67	33.2098	-7.75066
5.68	33.2103	-7.7493
5.69	33.2104	-7.7488
5.7	33.2103	-7.74914
5.71	33.2099	-7.75032
5.72	33.2092	-7.75232
5.73	33.2082	-7.75512
5.74	33.2069	-7.75871
5.75	33.2053	-7.76307
5.76	33.2035	-7.76817
5.77	33.2014	-7.774
5.78	33.199	-7.78051
5.79	33.1964	-7.78769
5.8	33.1936	-7.79551
5.81	33.1906	-7.80393
5.82	33.1873	-7.81293
5.83	33.1839	-7.82246
5.84	33.1803	-7.83249
5.85	33.1765	-7.84298
5.86	33.1726	-7.85391
5.87	33.1685	-7.86522
5.88	33.1643	-7.87688
5.89	33.16	-7.88886
5.9	33.1556	-7.9011
5.91	33.1511	-7.91357
5.92	33.1466	-7.92623
5.93	33.1419	-7.93904
5.94	33.1373	-7.95196
5.95	33.1326	-7.96494
5.96	33.1279	-7.97794
5.97	33.1233	-7.99094
5.98	33.1186	-8.00387
5.99	33.114	-8.01672
6	33.1094	-8.02943
6.01	33.1049	-8.04197
6.02	33.1005	-8.05431
6.03	33.0961	-8.0664
6.04	33.0918	-8.07822
6.05	33.0877	-8.08973
6.06	33.0837	-8.1009
6.07	33.0798	-8.11169
6.08	33.076	-8.12209
6.09	33.0725	-8.13205
6.1	33.069	-8.14157
6.11	33.0658	-8.1506
6.12	33.0627	-8.15914
6.13	33.0598	-8.16715
6.14	33.0571	-8.17462
6.15	33.0546	-8.18153
6.16	33.0524	-8.18787
6.17	33.0503	-8.19362
6.18	33.0484	-8.19878
6.19	33.0468	-8.20333
6.2	33.0454	-8.20726
6.21	33.0442	-8.21058
6.22	33.0432	-8.21327
6.23	33.0425	-8.21534
6.24	33.042	-8.21678
6.25	33.0417	-8.2176
6.26	33.0416	-8.2178
6.27	33.0417	-8.21739
6.28	33.0421	-8.21638
6.29	33.0427	-8.21477
6.3	33.0435	-8.21258
6.31	33.0445	-8.20982
6.32	33.0457	-8.2065
6.33	33.047	-8.20264
6.34	33.0486	-8.19827
6.35	33.0504	-8.19339
6.36	33.0523	-8.18803
6.37	33.0544	-8.18221
6.38	33.0567	-8.17595
6.39	33.0591	-8.16928
6.4	33.0616	-8.16223
6.41	33.0643	-8.15481
6.42	33.0671	-8.14706
6.43	33.07	-8.139
6.44	33.073	-8.13066
6.45	33.0761	-8.12207
6.46	33.0792	-8.11326
6.47	33.0825	-8.10426
6.48	33.0858	-8.0951
6.49	33.0891	-8.0858
6.5	33.0925	-8.07641
6.51	33.0959	-8.06695
6.52	33.0993	-8.05744
6.53	33.1027	-8.04792
6.54	33.1062	-8.03842
6.55	33.1096	-8.02897
6.56	33.1129	-8.01959
6.57	33.1163	-8.01032
6.58	33.1196	-8.00118
6.59	33.1228	-7.9922
6.6	33.126	-7.9834
6.61	33.1291	-7.97481
6.62	33.1321	-7.96646
6.63	33.135	-7.95836
6.64	33.1378	-7.95054
6.65	33.1405	-7.94302
6.66	33.1431	-7.93582
6.67	33.1456	-7.92895
6.68	33.1479	-7.92245
6.69	33.1501	-7.91631
6.7	33.1522	-7.91056
6.71	33.1541	-7.90521
6.72	33.1559	-7.90027
6.73	33.1575	-7.89575
6.74	33.159	-7.89166
6.75	33.1603	-7.88801
6.76	33.1615	-7.88481
6.77	33.1625	-7.88205
6.78	33.1633	-7.87975
6.79	33.164	-7.8779
6.8	33.1645	-7.87651
6.81	33.1648	-7.87557
6.82	33.165	-7.87509
6.83	33.165	-7.87506
6.84	33.1648	-7.87546
6.85	33.1645	-7.87631
6.86	33.1641	-7.87759
6.87	33.1635	-7.87928
6.88	33.1627	-7.88139
6.89	33.1618	-7.8839
6.9	33.1608	-7.8868
6.91	33.1596	-7.89007
6.92	33.1583	-7.89371
6.93	33.1568	-7.89769
6.94	33.1553	-7.902
6.95	33.1536	-7.90662
6.96	33.1518	-7.91154
6.97	33.15	-7.91673
6.98	33.148	-7.92219
6.99	33.146	-7.92788
7	33.1438	-7.9338
7.01	33.1416	-7.93991
7.02	33.1394	-7.9462
7.03	33.137	-7.95264
7.04	33.1347	-7.95923
7.05	33.1323	-7.96593
7.06	33.1298	-7.97272
7.07	33.1274	-7.97958
7.08	33.1249	-7.9865
7.09	33.1224	-7.99344
7.1	33.1199	-8.00039
7.11	33.1174	-8.00733
7.12	33.1149	-8.01423
7.13	33.1124	-8.02109
7.14	33.11	-8.02786
7.15	33.1076	-8.03455
7.16	33.1052	-8.04112
7.17	33.1029	-8.04757
7.18	33.1006	-8.05386
7.19	33.0984	-8.05999
7.2	33.0963	-8.06594
7.21	33.0942	-8.07169
7.22	33.0922	-8.07724
7.23	33.0903	-8.08255
7.24	33.0885	-8.08763
7.25	33.0867	-8.09245
7.26	33.0851	-8.09702
7.27	33.0835	-8.10131
7.28	33.0821	-8.10532
7.29	33.0807	-8.10904
7.3	33.0795	-8.11246
7.31	33.0784	-8.11558
7.32	33.0774	-8.11839
7.33	33.0765	-8.12088
7.34	33.0757	-8.12305
7.35	33.075	-8.12491
7.36	33.0745	-8.12644
7.37	33.074	-8.12765
7.38	33.0737	-8.12854
