t	V	DV/V0 in %
7.31	35.7013	-0.829643
7.32	35.7011	-0.8304
7.33	35.7008	-0.831131
7.34	35.7005	-0.831835
7.35	35.7003	-0.832511
7.36	35.7001	-0.833159
7.37	35.6998	-0.833777
7.38	35.6996	-0.834366
7.39	35.6994	-0.834923
7.4	35.6992	-0.83545
7.41	35.6991	-0.835944
7.42	35.6989	-0.836407
7.43	35.6987	-0.836837
7.44	35.6986	-0.837234
7.45	35.6985	-0.837598
7.46	35.6983	-0.83793
7.47	35.6982	-0.838228
7.48	35.6981	-0.838494
7.49	35.6981	-0.838727
7.5	35.698	-0.838928
7.51	35.6979	-0.839098
7.52	35.6979	-0.839236
7.53	35.6978	-0.839344
7.54	35.6978	-0.839423
7.55	35.6978	-0.839472
7.56	35.6978	-0.839495
7.57	35.6978	-0.83949
7.58	35.6978	-0.839461
7.59	35.6978	-0.839408
7.6	35.6978	-0.839332
7.61	35.6979	-0.839235
7.62	35.6979	-0.839118
7.63	35.698	-0.838984
7.64	35.698	-0.838834
7.65	35.6981	-0.838669
7.66	35.6981	-0.838491
7.67	35.6982	-0.838301
7.68	35.6983	-0.838102
7.69	35.6984	-0.837895
7.7	35.6984	-0.837681
7.71	35.6985	-0.837461
7.72	35.6986	-0.837237
7.73	35.6987	-0.837011
7.74	35.6988	-0.836783
7.75	35.6988	-0.836553
7.76	35.6989	-0.836324
7.77	35.699	-0.836095
7.78	35.6991	-0.835867
7.79	35.6992	-0.835641
7.8	35.6993	-0.835415
7.81	35.6993	-0.835191
7.82	35.6994	-0.834969
7.83	35.6995	-0.834747
7.84	35.6996	-0.834526
7.85	35.6997	-0.834305
7.86	35.6997	-0.834083
7.87	35.6998	-0.83386
7.88	35.6999	-0.833634
7.89	35.7	-0.833404
7.9	35.7001	-0.83317
7.91	35.7001	-0.832929
7.92	35.7002	-0.832681
7.93	35.7003	-0.832425
7.94	35.7004	-0.832159
7.95	35.7005	-0.831881
7.96	35.7006	-0.831591
7.97	35.7007	-0.831286
7.98	35.7009	-0.830967
7.99	35.701	-0.83063
8	35.7011	-0.830276
8.01	35.7012	-0.829902
8.02	35.7014	-0.829508
8.03	35.7015	-0.829093
8.04	35.7017	-0.828655
8.05	35.7019	-0.828195
8.06	35.702	-0.827711
8.07	35.7022	-0.827203
8.08	35.7024	-0.82667
8.09	35.7026	-0.826112
8.1	35.7028	-0.825529
8.11	35.703	-0.824922
8.12	35.7033	-0.824289
8.13	35.7035	-0.823633
8.14	35.7037	-0.822953
8.15	35.704	-0.822249
8.16	35.7043	-0.821524
8.17	35.7045	-0.820777
8.18	35.7048	-0.820009
8.19	35.7051	-0.819223
8.2	35.7054	-0.81842
8.21	35.7057	-0.8176
8.22	35.706	-0.816765
8.23	35.7063	-0.815918
8.24	35.7066	-0.815059
8.25	35.7069	-0.81419
8.26	35.7072	-0.813314
8.27	35.7075	-0.812432
8.28	35.7078	-0.811545
8.29	35.7082	-0.810657
8.3	35.7085	-0.809767
8.31	35.7088	-0.808879
8.32	35.7091	-0.807995
8.33	35.7094	-0.807115
8.34	35.7098	-0.806241
8.35	35.7101	-0.805376
8.36	35.7104	-0.804521
8.37	35.7107	-0.803678
8.38	35.711	-0.802847
8.39	35.7113	-0.802031
8.4	35.7116	-0.801231
8.41	35.7118	-0.800449
8.42	35.7121	-0.799684
8.43	35.7124	-0.79894
8.44	35.7126	-0.798217
8.45	35.7129	-0.797515
8.46	35.7131	-0.796837
8.47	35.7134	-0.796182
8.48	35.7136	-0.795552
8.49	35.7138	-0.794948
8.5	35.714	-0.794369
8.51	35.7142	-0.793818
8.52	35.7144	-0.793294
8.53	35.7146	-0.792797
8.54	35.7148	-0.792329
8.55	35.7149	-0.79189
8.56	35.7151	-0.791479
8.57	35.7152	-0.791098
8.58	35.7153	-0.790745
8.59	35.7154	-0.790422
8.6	35.7156	-0.790128
8.61	35.7156	-0.789864
8.62	35.7157	-0.789628
8.63	35.7158	-0.789422
8.64	35.7159	-0.789244
8.65	35.7159	-0.789095
8.66	35.716	-0.788974
8.67	35.716	-0.788881
8.68	35.716	-0.788816
8.69	35.716	-0.788777
8.7	35.716	-0.788765
8.71	35.716	-0.788779
8.72	35.716	-0.788819
8.73	35.716	-0.788883
8.74	35.716	-0.788972
8.75	35.7159	-0.789084
8.76	35.7159	-0.789219
8.77	35.7158	-0.789376
8.78	35.7158	-0.789554
8.79	35.7157	-0.789753
8.8	35.7156	-0.789971
8.81	35.7155	-0.790209
8.82	35.7154	-0.790464
8.83	35.7153	-0.790736
8.84	35.7152	-0.791025
8.85	35.7151	-0.791329
8.86	35.715	-0.791647
8.87	35.7149	-0.791978
8.88	35.7148	-0.792323
8.89	35.7146	-0.792679
8.9	35.7145	-0.793046
8.91	35.7144	-0.793423
8.92	35.7142	-0.79381
8.93	35.7141	-0.794205
8.94	35.7139	-0.794608
8.95	35.7138	-0.795018
8.96	35.7136	-0.795434
8.97	35.7135	-0.795857
8.98	35.7133	-0.796286
8.99	35.7132	-0.796719
9	35.713	-0.797157
9.01	35.7129	-0.7976
9.02	35.7127	-0.798046
9.03	35.7125	-0.798496
9.04	35.7124	-0.79895
9.05	35.7122	-0.799408
9.06	35.712	-0.799869
9.07	35.7119	-0.800333
9.08	35.7117	-0.800801
9.09	35.7115	-0.801272
9.1	35.7114	-0.801747
9.11	35.7112	-0.802225
9.12	35.711	-0.802707
9.13	35.7109	-0.803193
9.14	35.7107	-0.803683
9.15	35.7105	-0.804177
9.16	35.7103	-0.804676
9.17	35.7101	-0.805179
9.18	35.71	-0.805688
9.19	35.7098	-0.806201
9.2	35.7096	-0.806719
9.21	35.7094	-0.807243
9.22	35.7092	-0.807772
9.23	35.709	-0.808306
9.24	35.7088	-0.808846
9.25	35.7086	-0.809392
9.26	35.7084	-0.809942
9.27	35.7082	-0.810499
9.28	35.708	-0.81106
9.29	35.7078	-0.811627
