t	V	DV/V0 in %
5.06	52.0383	-3.63286
5.07	52.0551	-3.60173
5.08	52.0746	-3.56549
5.09	52.097	-3.52411
5.1	52.1221	-3.47756
5.11	52.15	-3.42584
5.12	52.1808	-3.36892
5.13	52.2143	-3.30682
5.14	52.2507	-3.23953
5.15	52.2898	-3.16707
5.16	52.3317	-3.08947
5.17	52.3764	-3.00674
5.18	52.4238	-2.91892
5.19	52.4739	-2.82607
5.2	52.5268	-2.72822
5.21	52.5823	-2.62545
5.22	52.6404	-2.5178
5.23	52.7011	-2.40536
5.24	52.7644	-2.28821
5.25	52.8301	-2.16643
5.26	52.8983	-2.04012
5.27	52.9689	-1.9094
5.28	53.0418	-1.77436
5.29	53.117	-1.63513
5.3	53.1944	-1.49185
5.31	53.2739	-1.34466
5.32	53.3554	-1.19371
5.33	53.4389	-1.03915
5.34	53.5242	-0.881161
5.35	53.6112	-0.719922
5.36	53.7	-0.555623
5.37	53.7902	-0.388464
5.38	53.8819	-0.218657
5.39	53.9749	-0.0464193
5.4	54.0691	0.128019
5.41	54.1644	0.304421
5.42	54.2606	0.482541
5.43	54.3575	0.662127
5.44	54.4552	0.84292
5.45	54.5533	1.02465
5.46	54.6518	1.20706
5.47	54.7505	1.38986
5.48	54.8493	1.57278
5.49	54.948	1.75555
5.5	55.0465	1.93787
5.51	55.1445	2.11947
5.52	55.242	2.30007
5.53	55.3389	2.47938
5.54	55.4349	2.65714
5.55	55.5299	2.83307
5.56	55.6237	3.0069
5.57	55.7163	3.17837
5.58	55.8075	3.34721
5.59	55.8971	3.51317
5.6	55.985	3.676
5.61	56.0711	3.83546
5.62	56.1553	3.99131
5.63	56.2374	4.14331
5.64	56.3173	4.29124
5.65	56.3948	4.43488
5.66	56.47	4.57401
5.67	56.5425	4.70842
5.68	56.6125	4.83791
5.69	56.6796	4.96227
5.7	56.7439	5.08132
5.71	56.8052	5.19485
5.72	56.8635	5.3027
5.73	56.9185	5.40468
5.74	56.9703	5.50061
5.75	57.0188	5.59033
5.76	57.0638	5.67369
5.77	57.1053	5.75052
5.78	57.1432	5.82068
5.79	57.1774	5.88404
5.8	57.2079	5.94047
5.81	57.2345	5.98984
5.82	57.2573	6.03206
5.83	57.2762	6.06701
5.84	57.2911	6.09462
5.85	57.302	6.11481
5.86	57.3089	6.12752
5.87	57.3117	6.13271
5.88	57.3104	6.13033
5.89	57.305	6.12037
5.9	57.2955	6.10282
5.91	57.282	6.0777
5.92	57.2643	6.04503
5.93	57.2426	6.00486
5.94	57.2169	5.95724
5.95	57.1872	5.90226
5.96	57.1536	5.84
5.97	57.1161	5.77059
5.98	57.0748	5.69413
5.99	57.0298	5.61079
6	56.9812	5.52072
6.01	56.929	5.42409
6.02	56.8734	5.32111
6.03	56.8145	5.21197
6.04	56.7523	5.0969
6.05	56.6871	4.97614
6.06	56.619	4.84995
6.07	56.548	4.71857
6.08	56.4744	4.58229
6.09	56.3984	4.44139
6.1	56.3199	4.29617
6.11	56.2393	4.14693
6.12	56.1567	3.99397
6.13	56.0723	3.83762
6.14	55.9862	3.6782
6.15	55.8987	3.51602
6.16	55.8098	3.35142
6.17	55.7198	3.18473
6.18	55.6288	3.01628
6.19	55.5371	2.8464
6.2	55.4447	2.67542
6.21	55.352	2.50366
6.22	55.259	2.33145
6.23	55.1659	2.15912
6.24	55.073	1.98698
6.25	54.9803	1.81535
6.26	54.8881	1.64455
6.27	54.7964	1.47488
6.28	54.7056	1.30664
6.29	54.6157	1.14014
6.3	54.5269	0.975663
6.31	54.4393	0.813508
6.32	54.3531	0.65396
6.33	54.2685	0.497299
6.34	54.1857	0.343802
6.35	54.1046	0.193742
6.36	54.0256	0.0473875
6.37	53.9487	-0.0949968
6.38	53.8741	-0.233151
6.39	53.8019	-0.366821
6.4	53.7323	-0.495754
6.41	53.6654	-0.619703
6.42	53.6012	-0.738428
6.43	53.5401	-0.851692
6.44	53.482	-0.959262
6.45	53.4271	-1.06091
6.46	53.3755	-1.15643
6.47	53.3274	-1.24559
6.48	53.2828	-1.3282
6.49	53.2418	-1.40406
6.5	53.2046	-1.47299
6.51	53.1712	-1.53479
6.52	53.1418	-1.58932
6.53	53.1163	-1.63641
6.54	53.095	-1.67593
6.55	53.0778	-1.70775
6.56	53.0649	-1.73175
6.57	53.0562	-1.74785
6.58	53.0518	-1.75596
6.59	53.0517	-1.75604
6.6	53.0561	-1.74803
6.61	53.0648	-1.73192
6.62	53.0778	-1.70772
6.63	53.0953	-1.67545
6.64	53.117	-1.63516
6.65	53.1431	-1.58692
6.66	53.1734	-1.53083
6.67	53.2078	-1.467
6.68	53.2464	-1.39557
6.69	53.289	-1.31671
6.7	53.3355	-1.2306
6.71	53.3858	-1.13745
6.72	53.4398	-1.0375
6.73	53.4973	-0.930984
6.74	53.5582	-0.81818
6.75	53.6223	-0.699372
6.76	53.6896	-0.574861
6.77	53.7597	-0.444964
6.78	53.8326	-0.31001
6.79	53.908	-0.17034
6.8	53.9858	-0.0263028
6.81	54.0657	0.121743
6.82	54.1477	0.273435
6.83	54.2313	0.428406
6.84	54.3166	0.586286
6.85	54.4032	0.746704
6.86	54.491	0.909292
6.87	54.5798	1.07368
6.88	54.6693	1.23951
6.89	54.7595	1.40642
6.9	54.85	1.57406
6.91	54.9407	1.74208
6.92	55.0315	1.91014
6.93	55.1221	2.07792
6.94	55.2123	2.24508
6.95	55.3021	2.41133
6.96	55.3912	2.57635
6.97	55.4795	2.73986
6.98	55.5668	2.90156
6.99	55.653	3.06118
7	55.738	3.21845
7.01	55.8215	3.37312
7.02	55.9035	3.52493
7.03	55.9838	3.67364
7.04	56.0623	3.81902
7.05	56.1389	3.96083
7.06	56.2134	4.09886
7.07	56.2858	4.23289
7.08	56.3559	4.36272
7.09	56.4236	4.48814
7.1	56.4888	4.60895
7.11	56.5515	4.72497
7.12	56.6114	4.83601
7.13	56.6686	4.9419
7.14	56.7229	5.04246
7.15	56.7743	5.13752
7.16	56.8225	5.22694
7.17	56.8677	5.31055
7.18	56.9096	5.38821
7.19	56.9483	5.45978
7.2	56.9836	5.52514
7.21	57.0154	5.58416
7.22	57.0438	5.63673
7.23	57.0687	5.68275
7.24	57.0899	5.72213
7.25	57.1076	5.75478
7.26	57.1215	5.78063
7.27	57.1318	5.79962
7.28	57.1383	5.81171
7.29	57.1411	5.81686
7.3	57.1401	5.81505
7.31	57.1354	5.80626
7.32	57.1269	5.7905
7.33	57.1146	5.76778
7.34	57.0986	5.73814
7.35	57.0789	5.70161
7.36	57.0555	5.65826
7.37	57.0284	5.60814
7.38	56.9977	5.55134
7.39	56.9635	5.48795
7.4	56.9258	5.41808
7.41	56.8846	5.34184
7.42	56.8401	5.25937
7.43	56.7922	5.17079
7.44	56.7412	5.07626
7.45	56.687	4.97594
7.46	56.6298	4.86999
7.47	56.5696	4.75858
7.48	56.5066	4.6419
7.49	56.4409	4.52015
7.5	56.3725	4.39351
7.51	56.3016	4.26219
7.52	56.2283	4.1264
7.53	56.1526	3.98635
